Name,QuantityType/0,DimensionalClass,SameUnit/0/_uom,SameUnit/0/_namingSystem,CatalogName,CatalogSymbol/_isExplicit,CatalogSymbol/__text,_id,_annotation,QuantityType/1,BaseUnit/BasicAuthority,QuantityType/2,BaseUnit/Description,Deprecated,QuantityType/3,QuantityType/4,QuantityType/5,QuantityType/6,QuantityType/7,SameUnit/1/_uom,SameUnit/1/_namingSystem,SameUnit/2/_uom,SameUnit/2/_namingSystem,QuantityType/8,QuantityType/9,QuantityType/10,QuantityType/11,QuantityType/12,ConversionToBaseUnit/Factor,ConversionToBaseUnit/_baseUnit,ConversionToBaseUnit/Fraction/Numerator,ConversionToBaseUnit/Fraction/Denominator,ConversionToBaseUnit/Formula/A,ConversionToBaseUnit/Formula/B,ConversionToBaseUnit/Formula/C,ConversionToBaseUnit/Formula/D,SameUnit/3/_uom,SameUnit/3/_namingSystem
degrees C square metres hours/kilocal,thermal insulance,KT3/M,degC.m2.h/kcal,RP66,POSC,true,degC.m2.h/kcal,degCTm2ThPkcal,degC.m2.h/kcal,coefficient of thermal insulation,,,,,,,,,,,,,,,,,,,0.8604208,K.m2/W,,,,,,,,
degrees Celsius per hundred metre,temperature per length,K/L,,,POSC,true,degC/100m,degCP100m,degC/100m,,,,,,,,,,,,,,,,,,,,0.01,K/m,,,,,,,,
degrees Celsius per foot,temperature per length,K/L,degC/ft,RP66,POSC,true,degC/ft,degCPft,degC/ft,,,,,,,,,,,,,,,,,,,,,K/m,1,0.3048,,,,,,
degrees Celsius per hour,temperature per time,K/T,degC/h,RP66,POSC,true,degC/h,degCPh,degC/h,,,,,,,,,,,,,,,,,,,,,K/s,1,3600,,,,,,
degrees Celsius/kilometre,temperature per length,K/L,degC/km,RP66,POSC,true,degC/km,degCPkm,degC/km,,,,,,,,,,,,,,,,,,,,0.001,K/m,,,,,,,,
degrees Celsius/metre,temperature per length,K/L,degC/m,RP66,POSC,true,degC/m,degCPm,degC/m,,,,,,,,,,,,,,,,,,,,1,K/m,,,,,,,,
degrees Celsius per minute,temperature per time,K/T,degC/min,RP66,POSC,true,degC/min,degCPmin,degC/min,,,,,,,,,,,,,,,,,,,,,K/s,1,60,,,,,,
degrees Celsius per second,temperature per time,K/T,degC/s,RP66,POSC,true,degC/s,degCPs,degC/s,,,,,,,,,,,,,,,,,,,,1,K/s,,,,,,,,
degree Fahrenheit,thermodynamic temperature,K,degF,RP66,POSC,true,degF,degF,degF,,,,,,,,,,,,,,,,,,,,,K,,,2298.35,5,9,0,,
degrees F square feet hours/Btu,thermal insulance,KT3/M,degF.ft2.h/Btu,RP66,POSC,true,degF.ft2.h/Btu,degFTft2ThPBtu,degF.ft2.h/Btu,coefficient of thermal insulation,,,,,,,,,,,,,,,,,,,0.1761102,K.m2/W,,,,,,,,
degrees Fahrenheit/100 feet.,temperature per length,K/L,degF/ft(100),POSC,POSC,true,degF/100ft,degFP100ft,degF/100ft,,,,,,,,,,,,,,,,,,,,0.01822689,K/m,,,,,,,,
degrees Fahrenheit/foot,temperature per length,K/L,degF/ft,RP66,POSC,true,degF/ft,degFPft,degF/ft,,,,,,,,,,,,,,,,,,,,1.822689,K/m,,,,,,,,
degrees Fahrenheit/100 feet.,temperature per length,K/L,degF/100ft,POSC,POSC,true,degF/ft(100),degFPft(100),degF/ft(100),,,,,2,,,,,,,,,,,,,,,0.01822689,K/m,,,,,,,,
degrees Fahrenheit per hour,temperature per time,K/T,degF/h,RP66,POSC,true,degF/h,degFPh,degF/h,,,,,,,,,,,,,,,,,,,,,K/s,5,32400,,,,,,
degrees Fahrenheit per meter,temperature per length,K/L,degF/m,RP66,POSC,true,degF/m,degFPm,degF/m,,,,,,,,,,,,,,,,,,,,,K/m,5,9,,,,,,
