Name,QuantityType/0,DimensionalClass,SameUnit/0/_uom,SameUnit/0/_namingSystem,CatalogName,CatalogSymbol/_isExplicit,CatalogSymbol/__text,_id,_annotation,QuantityType/1,BaseUnit/BasicAuthority,QuantityType/2,BaseUnit/Description,Deprecated,QuantityType/3,QuantityType/4,QuantityType/5,QuantityType/6,QuantityType/7,SameUnit/1/_uom,SameUnit/1/_namingSystem,SameUnit/2/_uom,SameUnit/2/_namingSystem,QuantityType/8,QuantityType/9,QuantityType/10,QuantityType/11,QuantityType/12,ConversionToBaseUnit/Factor,ConversionToBaseUnit/_baseUnit,ConversionToBaseUnit/Fraction/Numerator,ConversionToBaseUnit/Fraction/Denominator,ConversionToBaseUnit/Formula/A,ConversionToBaseUnit/Formula/B,ConversionToBaseUnit/Formula/C,ConversionToBaseUnit/Formula/D,SameUnit/3/_uom,SameUnit/3/_namingSystem
euclid,dimensionless,1,100%,RP66,POSC,true,Euc,Euc,Euc,volumic concentration,POSC,mass concentration,"A base unit to describe all dimensionless values,such as ratios and factors.",,,linear strain,shear strain,attenuation,poisson ratio,,,,,,,,,,,,,,,,,,,
farad,capacitance,C2T4/L2M,F,RP66,POSC,true,F,F,F,,SI,,The capacitance of a capacitor between the plates of which there appears a difference of potential of 1 V when it is charged by a quantity of electricity equal to 1 C.,,,,,,,,,,,,,,,,,,,,,,,,,
farads/metre,permittivity,C2T4/L3M,F/m,RP66,POSC,true,F/m,FPm,F/m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gas unit,volumic concentration,,,,POSC,true,gu,gu,gu,,,,"Can mean 1/50th per cent or 1/100th percent,depending on country.",,,,,,,,,,,,,,,,,,,,,,,,,
API gamma ray units,gamma ray API unit,U,gAPI,RP66,POSC,true,gAPI,gAPI,gAPI,,API,,A unit defined by the American Petroleum Institute for gamma ray log measurements.,,,,,,,,,,,,,,,,,,,,,,,,,
gray,absorbed dose,L2/T2,Gy,RP66,POSC,true,Gy,Gy,Gy,,SI,,The absorbed dose when the energy per unit mass imparted to matter by ionizing radiation is 1 J/kg,,,,,,,,,,,,,,,,,,,,,,,,,
henry,self inductance,L2M/C2T2,H,RP66,POSC,true,H,H,H,permeance,SI,,The inductance of a closed circuit in which an electromotive force of 1 V is produced when the electric current in the circuit varies uniformly at a rate of 1 A/s.,,,,,,,,,,,,,,,,,,,,,,,,,
henries/metre,magnetic permeability,LM/C2T2,H/m,RP66,POSC,true,H/m,HPm,H/m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hertz,frequency,1/T,Hz,RP66,POSC,true,Hz,Hz,Hz,,SI,,The frequency of a periodic phenomenon of which the period is 1 second.,,,,,,,1/s,POSC,c/s,POSC,,,,,,,,,,,,,,,
joule,moment of force,L2M/T2,J,RP66,POSC,true,J,J,J,moment of couple,SI,torque,The work done when the point of application of a force of 1 N is displaced a distance of 1 m in the direction of the force.,,energy,work,,,,,,,,,,,,,,,,,,,,,,
joules per delta kelvin,heat capacity,L2M/KT2,J/K,RP66,POSC,true,J/K,JPK,J/K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joules/kilogram,specific energy,L2/T2,J/kg,RP66,POSC,true,J/kg,JPkg,J/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joules/kilogram degree kelvin,specific heat capacity,L2/KT2,J/kg.K,RP66,POSC,true,J/kg.K,JPkgTK,J/kg.K,massic heat capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joules/cubic metre,normal stress,M/LT2,J/m3,RP66,POSC,true,J/m3,JPm3,J/m3,shear stress,,modulus of elasticity,,,shear modulus,modulus of rigidity,bulk modulus,modulus of compression,electromagnetic energy density,,,,,radiant energy density,,,,,,,,,,,,,,
joules/mole,molar thermodynamic energy,L2M/NT2,J/mol,RP66,POSC,true,J/mol,JPmol,J/mol,chemical potential,,affinity of a chemical reaction,,,,,,,,,,,,,,,,,,,,,,,,,,
joules/mole degree kelvin,molar heat capacity,L2M/KNT2,J/mol.K,RP66,POSC,true,J/mol.K,JPmolTK,J/mol.K,molar entropy,,molar gas constant,,,,,,,,,,,,,,,,,,,,,,,,,,
kelvin,thermodynamic temperature,K,K,RP66,POSC,true,K,K,K,delta temperature,SI,,"The kelvin, unit of thermodynamic temperature,is the fraction 1/273.16 of the thermodynamic temperature of the triple point of water.",,,,,,,,,,,,,,,,,,,,,,,,,
kelvin metres squared/watt,thermal insulance,KT3/M,K.m2/W,RP66,POSC,true,K.m2/W,KTm2PW,K.m2/W,coefficient of thermal insulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
degrees kelvin/metre,temperature per length,K/L,K/m,RP66,POSC,true,K/m,KPm,K/m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kelvin per second,temperature per time,K/T,K/s,RP66,POSC,true,K/s,KPs,K/s,,WITSML,,,,,,,,,,,,,,,,,,,,,,,,,,,
delta kelvin per watt,thermal resistance,KT3/L2M,K/W,RP66,POSC,true,K/W,KPW,K/W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kilogram,mass,M,kg,RP66,POSC,true,kg,kg,kg,,SI,,The kilogram is the unit of mass (not force); it is equal to the mass of the international prototype of the kilogram.,,,,,,,,,,,,,,,,,,,,,,,,,
meter-kilogram,mass length,ML,kg.m,RP66,POSC,true,kg.m,kgTm,kg.m,,WITSML,,,,,,,,,,,,,,,,,,,,,,,,,,,
kilogram metres/second,momentum,LM/T,kg.m/s,RP66,POSC,true,kg.m/s,kgTmPs,kg.m/s,impulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kilogram metres squared,moment of inertia,L2M,kg.m2,RP66,POSC,true,kg.m2,kgTm2,kg.m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kilograms/joule,mass per energy,T2/L2,kg/J,RP66,POSC,true,kg/J,kgPJ,kg/J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kilograms/metre,linear density,M/L,kg/m,RP66,POSC,true,kg/m,kgPm,kg/m,linear mass,,mass per length,,,,,,,,,,,,,,,,,,,,,,,,,,
kilograms/square metre,surface density,M/L2,kg/m2,RP66,POSC,true,kg/m2,kgPm2,kg/m2,areic mass,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kilograms/square metre seconds,mass per time per area,M/L2T,kg/m2.s,RP66,POSC,true,kg/m2.s,kgPm2Ts,kg/m2.s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kilograms/cubic metre,density,M/L3,kg/m3,RP66,POSC,true,kg/m3,kgPm3,kg/m3,mass density,,volumic mass,,,,,,,,,,,,,,,,,,,,,,,,,,
kilogram/metre fourth,mass per volume per length,M/L4,kg/m4,RP66,POSC,true,kg/m4,kgPm4,kg/m4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kilograms/second,mass flow rate,M/T,kg/s,RP66,POSC,true,kg/s,kgPs,kg/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lumen,luminous flux,BS,lm,RP66,POSC,true,lm,lm,lm,,SI,,The luminous flux emitted in a solid angle of 1 sr by a point source having a uniform intensity of 1 cd.,,,,,,,,,,,,,,,,,,,,,,,,,
lumen second,quantity of light,BST,lm.s,RP66,POSC,true,lm.s,lmTs,lm.s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lumens/watt,luminous efficacy,BST3/L2M,lm/W,RP66,POSC,true,lm/W,lmPW,lm/W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lux,illuminance,BS/L2,lx,RP66,POSC,true,lx,lx,lx,,SI,,The illuminance produced by a luminous flux of 1 lm uniformly distributed over a surface of 1 m2.,,,,,,,,,,,,,,,,,,,,,,,,,
lux seconds,light exposure,BST/L2,lx.s,RP66,POSC,true,lx.s,lxTs,lx.s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metre,length,L,m,RP66,POSC,true,m,m,m,breadth,SI,height,The metre is the length equal to 1 650 763.73 wavelengths in vacuum of the radiation corresponding to the transition between the levels 2p10 and 5d5 of the krypton-86 atom.,,depth,thickness,radius,radius of curvature,Cartesian coordinates,,,,,diameter,length of path,distance,wavelength,mean free path,,,,,,,,,,
metres/degree kelvin,length per temperature,L/K,m/K,RP66,POSC,true,m/K,mPK,m/K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metres/second,velocity,L/T,m/s,RP66,POSC,true,m/s,mPs,m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metres/second squared,acceleration linear,L/T2,m/s2,RP66,POSC,true,m/s2,mPs2,m/s2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
square metres,area,L2,m2,RP66,POSC,true,m2,m2,m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
square metres/kilogram,mass attenuation coefficient,L2/M,m2/kg,RP66,POSC,true,m2/kg,m2Pkg,m2/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
square metres/mol,cross section absorption,L2/N,m2/mol,RP66,POSC,true,m2/mol,m2Pmol,m2/mol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
square metres/second Pascal,unit productivity index,L3T/M,m2/Pa.s,RP66,POSC,true,m2/Pa.s,m2PPaTs,m2/Pa.s,mobility,,,,,,,,,,,,,,,,,,,,,,,,,,,,
square metres/second,kinematic viscosity,L2/T,m2/s,RP66,POSC,true,m2/s,m2Ps,m2/s,thermal diffusivity,,diffusion coefficient,,,area per time,,,,,,,,,,,,,,,,,,,,,,,
cubic metres,volume,L3,m3,RP66,POSC,true,m3,m3,m3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cubic metres/joule,isothermal compressibility,LT2/M,m3/J,RP66,POSC,true,m3/J,m3PJ,m3/J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cubic metres/kilogram,specific volume,L3/M,m3/kg,RP66,POSC,true,m3/kg,m3Pkg,m3/kg,massic volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cubic metres/mole,molar volume,L3/N,m3/mol,RP66,POSC,true,m3/mol,m3Pmol,m3/mol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cubic metres/second pascal,productivity index,L4T/M,m3/Pa.s,RP66,POSC,true,m3/Pa.s,m3PPaTs,m3/Pa.s,,,,,,,,,,,m3/Pa/s,WITSML/RP66,,,,,,,,,,,,,,,,,
(cubic metres/second) per pascal,productivity index,L4T/M,m3/Pa/s,RP66,WITSML,true,m3/Pa/s,m3PPaPs,m3/Pa/s,,WITSML,,,,,,,,,m3/Pa.s,POSC,,,,,,,,,,,,,,,,,
cubic metres/pascal second squared,specific productivity index,L5T2/M2,m3/Pa2.s2,RP66,POSC,true,m3/Pa2.s2,m3PPa2Ts2,m3/Pa2.s2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cubic metres/second,volume flow rate,L3/T,m3/s,RP66,POSC,true,m3/s,m3Ps,m3/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cubic metres/seconds squared,volume per time per time,L3/T2,m3/s2,RP66,POSC,true,m3/s2,m3Ps2,m3/s2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"cubic metres/std cubic metres, 0 deg C",volume per standard volume,1,,,POSC,true,m3/scm(0C),m3Pscm(0C),m3/scm(0C),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"cubic metres/std cubic metres, 15 deg C",volume per standard volume,1,,,POSC,true,m3/scm(15C),m3Pscm(15C),m3/scm(15C),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metres fourth,second moment of area,L4,m4,RP66,POSC,true,m4,m4,m4,moment of section,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metres fourth/second,volume length per time,L4/T,m4/s,RP66,POSC,true,m4/s,m4Ps,m4/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mole,amount of substance,N,mol,RP66,POSC,true,mol,mol,mol,,SI,,"The mole is the amount of substance of a system that contains as many elementary entities as there are atoms in 0.012 kilogram of carbon-12. When the mole is used, the elementary entities must be specified and may be atoms, molecules, ions, electrons, other particles,or specified groups of such particles.",,,,,,,,,,,,,,,,,,,,,,,,,
moles/square metre,mole per area,N/L2,mol/m2,RP66,POSC,true,mol/m2,molPm2,mol/m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moles/square metre second,mole per time per area,N/L2T,mol/m2.s,RP66,POSC,true,mol/m2.s,molPm2Ts,mol/m2.s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moles/cubic metre,concentration of B,N/L3,mol/m3,RP66,POSC,true,mol/m3,molPm3,mol/m3,amount of a substance,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moles/second,mole per time,N/T,mol/s,RP66,POSC,true,mol/s,molPs,mol/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newton,force,LM/T2,N,RP66,POSC,true,N,N,N,,SI,,"That force which, when ap0plied to a body having a mass of 1 kg,gives it an acceleration of 1 m/s2.",,,,,,,,,,,,,,,,,,,,,,,,,
newton square metres,force area,L3M/T2,N.m2,RP66,POSC,true,N.m2,NTm2,N.m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newtons/metre,force per length,M/T2,N/m,RP66,POSC,true,N/m,NPm,N/m,energy per area,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newtons/cubic metre,force per volume,M/L2T2,N/m3,RP66,POSC,true,N/m3,NPm3,N/m3,pressure per length,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newtons fourth metres/kilogram,parachor,M3/L3T8,N4/kg.m7,RP66,POSC,true,N4/kg.m7,N4PkgTm7,N4/kg.m7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
API neutron units,neutron API unit,U,nAPI,RP66,POSC,true,nAPI,nAPI,nAPI,,API,,A unit defined by the American Petroleum Institute for neutron log measurements.,,,,,,,,,,,,,,,,,,,,,,,,,
octave,frequency interval,1,O,RP66,POSC,true,O,O,O,,POSC,,The number of octaves between two positive values is the base two logarithm of their ratio.,,,,,,,,,,,,,,,,,,,,,,,,,
ohm,resistance,L2M/C2T3,ohm,RP66,POSC,true,ohm,ohm,ohm,impedance,SI,,"The electric resistance between two points of a conductor when a constant difference of potential of 1 V, applied between these two points, produces in this conductor a current of 1 A,this conductor not being the source of any electromotive force.",,,,,,,,,,,,,,,,,,,,,,,,,
ohm metre,electrical resistivity,L3M/C2T3,ohm.m,RP66,POSC,true,ohm.m,ohmTm,ohm.m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ohm per metre,resistivity per length,LM/C2T3,ohm/m,RP66,POSC,true,ohm/m,ohmPm,ohm/m,,WITSML,,,,,,,,,,,,,,,,,,,,,,,,,,,
pascal,force per area,M/LT2,Pa,RP66,POSC,true,Pa,Pa,Pa,pressure,SI,,The pressure or stress of 1 N/m2.,,,,,,,,,,,,,,,,,,,,,,,,,
pascal seconds,dynamic viscosity,M/LT,Pa.s,RP66,POSC,true,Pa.s,PaTs,Pa.s,mass per time per length,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pascal seconds/cubic metre,pressure time per volume,M/L4T,Pa.s/m3,RP66,POSC,true,Pa.s/m3,PaTsPm3,Pa.s/m3,acoustic impedance,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pascal second /cubic metre squared,nonDarcy flow coefficient,M/L7T,Pa.s/m6,RP66,POSC,true,Pa.s/m6,PaTsPm6,Pa.s/m6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pascals/metre,force per volume,M/L2T2,Pa/m,RP66,POSC,true,Pa/m,PaPm,Pa/m,pressure per length,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pascals/cubic metre,Darcy flow coefficient,M/L4T2,Pa/m3,RP66,POSC,true,Pa/m3,PaPm3,Pa/m3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pascal/ second,pressure per time,M/LT3,Pa/s,RP66,POSC,true,Pa/s,PaPs,Pa/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pascal squared,pressure squared,M2/L2T4,Pa2,RP66,POSC,true,Pa2,Pa2,Pa2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pH,pH,1,,,POSC,true,pH,pH,pH,,POSC,,"The negative,base 10 logarithm of the concentration of hydrogen ions in a solution.",,,,,,,,,,,,,,,,,,,,,,,,,
radian,plane angle,A,rad,RP66,POSC,true,rad,rad,rad,,SI,,"The radian is the plane angle between two radii of a circle that cut of, on the circumference,an arc equal in length to the radius.",,,,,,,,,,,,,,,,,,,,,,,,,
radians/metre,angle per length,A/L,rad/m,RP66,POSC,true,rad/m,radPm,rad/m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
radians per cubic metre,angle per volume,A/L3,rad/m3,RP66,POSC,true,rad/m3,radPm3,rad/m3,,WITSML,,,,,,,,,,,,,,,,,,,,,,,,,,,
radians/second,angular velocity,A/T,rad/s,RP66,POSC,true,rad/s,radPs,rad/s,rotational frequency,,circular frequency,,,angle per time,rotational velocity,,,,,,,,,,,,,,,,,,,,,,
radians/second squared,angular acceleration,A/T2,rad/s2,RP66,POSC,true,rad/s2,radPs2,rad/s2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
siemens,electric conductance,C2T3/L2M,S,RP66,POSC,true,S,S,S,admittance,SI,susceptance,The electric conductance of a conductor in which a current of 1 A is produced by an electric potential difference of 1 V.,,,,,,,,,,,,,,,,,,,,,,,,,
second,time,T,s,RP66,POSC,true,s,s,s,,SI,,The second is the duration of 9 192 631 770 periods of the radiation corresponding to the transition between the two hyperfine levels of the ground state of the cesium-133 atom.,,,,,,,,,,,,,,,,,,,,,,,,,
siemens/metre,conductivity,C2T3/L3M,S/m,RP66,POSC,true,S/m,SPm,S/m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seconds/metre,time per length,T/L,s/m,RP66,POSC,true,s/m,sPm,s/m,slowness,,interval transit time,,,,,,,,,,,,,,,,,,,,,,,,,,
seconds/cubic metre,time per volume,T/L3,s/m3,RP66,POSC,true,s/m3,sPm3,s/m3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
standard cubic metres at 0 deg Celsius,standard volume,M3,,,POSC,true,scm(0C),scm(0C),scm(0C),,API,,"A unit of standard volume. The number of scm(0C) of a fluid is the volume the fluid will occupy (in cubic metres) when the fluid is reduced to standard conditions of 1 atm.,0 degrees Celsius.",,,,,,,,,,,,,,,,,,,,,,,,,
"std cubic metres, 0 deg C/square metre",standard volume  per area,M,,,POSC,true,scm(0C)/m2,scm(0C)Pm2,scm(0C)/m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"std cubic metres, 0 deg C/cubic metre",standard volume per volume,1,,,POSC,true,scm(0C)/m3,scm(0C)Pm3,scm(0C)/m3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
standard cubic metres at 15 deg Celsius,standard volume,M3,,,POSC,true,scm(15C),scm(15C),scm(15C),,API,,"A unit of standard volume. The number of scm(15C) of a fluid is the volume the fluid will occupy (in cubic metres) when the fluid is reduced to standard conditions of 1 atm.,15 degrees Celsius.",,,,,,,,,,,,,,,,,,,,,,,,,
"std cubic metres, 15 deg C/square metre",standard volume  per area,M,,,POSC,true,scm(15C)/m2,scm(15C)Pm2,scm(15C)/m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"std cubic metres, 15 deg C/cubic metre",stadard volume per volume,1,,,POSC,true,scm(15C)/m3,scm(15C)Pm3,scm(15C)/m3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"std cubic metres, 15 deg C/second",standard volume per time,M3/T,,,POSC,true,scm(15C)/s,scm(15C)Ps,scm(15C)/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steradian,solid angle,S,sr,RP66,POSC,true,sr,sr,sr,,SI,,"The steradian is the solid angle that, having its vertex in the center of a circle,cuts of an area of the surface of the sphere equal to that of a square with sides of length equal to the radius of the sphere.",,,,,,,,,,,,,,,,,,,,,,,,,
sievert,dose equivalent,L2/T2,Sv,RP66,POSC,true,Sv,Sv,Sv,,SI,,The dose equivalent when the absorbed dose of ionizing radiation multiplied by the dimensionless factors Q (quality facot) and N (product of any othe multiplying factors) stipulated by the Intl. Commission on Radiological Protection is 1. J/kg.,,,,,,,,,,,,,,,,,,,,,,,,,
sievert per second,dose equivalent rate,L2/T3,,,POSC,true,Sv/s,SvPs,Sv/s,,,,The dose equivalent rate when the absorbed dose per second of ionizing radiation multiplied by the appropriate factors is equivalent to 1 Sievert per second.,,,,,,,,,,,,,,,,,,,,,,,,,
tesla,magnetic induction,M/CT2,T,RP66,POSC,true,T,T,T,magnetic flux density,SI,,"The magnetic flux density of 1 Wb/m2. Alternatively, it is defined as the magnetic flux density that produces on a 1-m length of wire carrying a current of 1A, oriented normal to the flux density, a force of 1 N,magnetic flux density being defined as an axial vector quantity such that the force exerted on an element of current is equal to the vector product of this element and the magnetic flux density.",,,,,,,,,,,,,,,,,,,,,,,,,
volt,electric potential,L2M/CT3,V,RP66,POSC,true,V,V,V,,SI,,The difference of electric potential between two points of a conductor carrying a constant current of 1 A when the power dissipated between these points is equal to 1 W.,,,,,,,,,,,,,,,,,,,,,,,,,
volts/Bel,potential difference per per power drop,L2M/CT3,V/B,RP66,POSC,true,V/B,VPB,V/B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volts/metre,electric field strength,LM/CT3,V/m,RP66,POSC,true,V/m,VPm,V/m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
watt,power,L2M/T3,W,RP66,POSC,true,W,W,W,heat flow rate,SI,,The power that represents a rate of energy transfer of 1 J/s.,,,,,,,,,,,,,,,,,,,,,,,,,
Watts per delta kelvin,thermal conductance,L2M/KT3,W/K,RP66,POSC,true,W/K,WPK,W/K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
watts/metre kelvin,energy length per time area temperature,LM/KT3,W/m.K,RP66,POSC,true,W/m.K,WPmTK,W/m.K,thermal conductivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
watts/square metre,density of heat flow rate,M/T3,W/m2,RP66,POSC,true,W/m2,WPm2,W/m2,poynting vector,,radiant energy,,,fluence rate,radiant exitance,irradiance,sound intensity,energy fluence rate,,,,,,,,,,,,,,,,,,,
watts/square metre kelvin,heat transfer coefficient,M/KT3,W/m2.K,RP66,POSC,true,W/m2.K,WPm2TK,W/m2.K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
watts/square metre steradian,radiance,M/ST3,W/m2.sr,RP66,POSC,true,W/m2.sr,WPm2Tsr,W/m2.sr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
watts/cubic metre,power per volume,M/LT3,W/m3,RP66,POSC,true,W/m3,WPm3,W/m3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
watts/cubic metre kelvin,volumetric heat transfer coefficient,M/KLT3,W/m3.K,RP66,POSC,true,W/m3.K,WPm3TK,W/m3.K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
watts/steradian,radiant intensity,L2M/ST3,W/sr,RP66,POSC,true,W/sr,WPsr,W/sr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weber,magnetic flux,L2M/CT2,Wb,RP66,POSC,true,Wb,Wb,Wb,,SI,,"The magnetic flux which, linking a circuit of one turn,produces in it an alectromotive orce of 1 V as it is reduced to zero at a uniform rate in 1 s.",,,,,,,,,,,,,,,,,,,,,,,,,
weber metres,magnetic dipole moment,L3M/CT2,Wb.m,RP66,POSC,true,Wb.m,WbTm,Wb.m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
webers/metre,magnetic vector potential,LM/CT2,Wb/m,RP66,POSC,true,Wb/m,WbPm,Wb/m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
percent,dimensionless,1,%,RP66,POSC,true,%,%,%,area per area,,volumic concentration,,,mass concentration,force per force,linear strain,relative elongation,relative power,cEuc,POSC,pu,RP66,length per length,,,,,0.01,Euc,,,,,,,,
per annum,per time,1/T,1/a,RP66,POSC,true,1/a,1Pa,1/a,,,,,,,,,,,,,,,,,,,,,1/s,1,31558150,,,,,,
per angstrom,per length,1/L,,,POSC,true,1/angstrom,1Pangstrom,1/angstrom,wave number,,,,,,,,,,,,,,,,,,,10000000000,1/m,,,,,,,,
per bar,bulk compressibility,LT2/M,1/bar,RP66,POSC,true,1/bar,1Pbar,1/bar,compressibility,,,,,,,,,,,,,,,,,,,0.000001,1/Pa,,,,,,,,
per barrel,per volume,1/L3,1/bbl,RP66,POSC,true,1/bbl,1Pbbl,1/bbl,,,,,,,,,,,,,,,,,,,,,1/m3,1,0.1589873,,,,,,
per centimetre,per length,1/L,1/cm,RP66,POSC,true,1/cm,1Pcm,1/cm,wave number,,,,,,,,,,,,,,,,,,,100,1/m,,,,,,,,
per day,per time,1/T,1/d,RP66,POSC,true,1/d,1Pd,1/d,,,,,,,,,,,,,,,,,,,,,1/s,1,86400,,,,,,
per degree Celsius,volumetric thermal expansion,1/K,1/degC,RP66,POSC,true,1/degC,1PdegC,1/degC,,,,,,,,,,,,,,,,,,,,1,1/K,,,,,,,,
per degree Fahrenheit,volumetric thermal expansion,1/K,1/degF,RP66,POSC,true,1/degF,1PdegF,1/degF,,,,,,,,,,,,,,,,,,,,,1/K,9,5,,,,,,
per degree Rankine,volumetric thermal expansion,1/K,1/degR,RP66,POSC,true,1/degR,1PdegR,1/degR,,,,,,,,,,,,,,,,,,,,,1/K,9,5,,,,,,
per foot,per length,1/L,1/ft,RP66,POSC,true,1/ft,1Pft,1/ft,,,,,,,,,,,,,,,,,,,,,1/m,1,0.3048,,,,,,
per square foot,per area,1/L2,1/ft2,RP66,POSC,true,1/ft2,1Pft2,1/ft2,,,,,,,,,,,,,,,,,,,,,1/m2,1,0.09290304,,,,,,
per cubic foot,per volume,1/L3,1/ft3,RP66,POSC,true,1/ft3,1Pft3,1/ft3,,,,,,,,,,,,,,,,,,,,,1/m3,1,0.02831685,,,,,,
per gram,per mass,1/M,1/g,RP66,POSC,true,1/g,1Pg,1/g,,,,,,,,,,,,,,,,,,,,1000,1/kg,,,,,,,,
per UK gallon,per volume,1/L3,1/galUK,RP66,POSC,true,1/galUK,1PgalUK,1/galUK,,,,,,,,,,,,,,,,,,,,,1/m3,1,0.00456092,,,,,,
per US gallon,per volume,1/L3,1/galUS,RP66,POSC,true,1/galUS,1PgalUS,1/galUS,,,,,,,,,,,,,,,,,,,,,1/m3,1,0.003785412,,,,,,
per hour,per time,1/T,1/h,RP66,POSC,true,1/h,1Ph,1/h,,,,,,,,,,,,,,,,,,,,,1/s,1,3600,,,,,,
per inch,per length,1/L,1/in,RP66,POSC,true,1/in,1Pin,1/in,,,,,,,,,,,,,,,,,,,,,1/m,1,0.0254,,,,,,
per square kilometre,per area,1/L2,1/km2,RP66,POSC,true,1/km2,1Pkm2,1/km2,,,,,,,,,,,,,,,,,,,,,1/m2,1,1000000,,,,,,
per kilopascal,bulk compressibility,LT2/M,1/kPa,RP66,POSC,true,1/kPa,1PkPa,1/kPa,compressibility,,,,,,,,,,,,,,,,,,,0.001,1/Pa,,,,,,,,
per litre,per volume,1/L3,1/L,RP66,POSC,true,1/L,1PL,1/L,,,,,,,,,,,,,,,,,,,,1000,1/m3,,,,,,,,
per pound force,per force,T2/LM,1/lbf,RP66,POSC,true,1/lbf,1Plbf,1/lbf,,,,,,,,,,,,,,,,,,,,,1/N,1,4.448222,,,,,,
per pound,per mass,1/M,1/lbm,RP66,POSC,true,1/lbm,1Plbm,1/lbm,,,,,,,,,,,,,,,,,,,,,1/kg,1,0.4535924,,,,,,
per mile,per length,1/L,1/mi,RP66,POSC,true,1/mi,1Pmi,1/mi,,,,,,,,,,,,,,,,,,,,,1/m,1,1609.344,,,,,,
